Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:18.32M (Peak 18.32M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.053
Fra:1 Mem:18.33M (Peak 18.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.054
Fra:1 Mem:18.33M (Peak 18.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.056
Fra:1 Mem:18.33M (Peak 18.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.058
Fra:1 Mem:18.33M (Peak 18.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.059
Fra:1 Mem:18.33M (Peak 18.33M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.061
Fra:1 Mem:18.34M (Peak 18.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.062
Fra:1 Mem:18.34M (Peak 18.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_star6.floor_tile.063
Fra:1 Mem:18.34M (Peak 18.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel
Fra:1 Mem:18.34M (Peak 18.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.002
Fra:1 Mem:18.34M (Peak 18.34M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.003
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.004
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.006
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.007
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.008
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.009
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.010
