Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:64.63M (Peak 64.63M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.061
Fra:1 Mem:64.63M (Peak 64.63M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.063
Fra:1 Mem:64.63M (Peak 64.63M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.064
Fra:1 Mem:64.64M (Peak 64.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.066
Fra:1 Mem:64.64M (Peak 64.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.067
Fra:1 Mem:64.64M (Peak 64.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.068
Fra:1 Mem:64.64M (Peak 64.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.070
Fra:1 Mem:64.64M (Peak 64.64M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.072
Fra:1 Mem:64.65M (Peak 64.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.073
Fra:1 Mem:64.65M (Peak 64.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.075
Fra:1 Mem:64.65M (Peak 64.65M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.080
Fra:1 Mem:64.66M (Peak 64.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.081
Fra:1 Mem:64.66M (Peak 64.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.082
Fra:1 Mem:64.66M (Peak 64.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.083
Fra:1 Mem:64.66M (Peak 64.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.085
Fra:1 Mem:64.66M (Peak 64.66M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.087
Fra:1 Mem:64.67M (Peak 64.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.088
Fra:1 Mem:64.67M (Peak 64.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.090
Fra:1 Mem:64.67M (Peak 64.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.091
Fra:1 Mem:64.67M (Peak 64.67M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.092
Fra:1 Mem:64.68M (Peak 64.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.093
Fra:1 Mem:64.68M (Peak 64.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.095
Fra:1 Mem:64.68M (Peak 64.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.096
Fra:1 Mem:64.68M (Peak 64.68M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.097
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.098
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.099
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.102
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.103
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.105
Fra:1 Mem:64.69M (Peak 64.69M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.106
Fra:1 Mem:64.70M (Peak 64.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.108
Fra:1 Mem:64.70M (Peak 64.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.109
Fra:1 Mem:64.70M (Peak 64.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.110
Fra:1 Mem:64.70M (Peak 64.70M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.112
Fra:1 Mem:64.71M (Peak 64.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.114
Fra:1 Mem:64.71M (Peak 64.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.115
